"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser"
"401030690",2018,0.56,34,23,0.583
"401030691",2018,0.653,31,24,0.628
"401030692",2018,0.503,13,34,0.51
"401030693",2018,0.697,9,21,0.71
"401030694",2018,0.506,20,17,0.651
"401030695",2018,0.651,34,29,0.576
"401030696",2018,0.597,27,21,0.597
"401030697",2018,0.768,38,24,0.243
"401030698",2018,0.647,37,42,0.648
"401030699",2018,0.626,18,24,0.625
"401030700",2018,0.622,12,20,0.712
"401030701",2018,0.557,23,17,0.488
"401030702",2018,0.571,13,12,0.613
"401030703",2018,0.752,42,23,0.419
"401030704",2018,0.708,20,31,0.343
"401030706",2018,0.659,3,27,0.369
"401030707",2018,0.785,30,23,0.474
"401030708",2018,0.745,21,18,0.914
"401030709",2018,0.586,41,17,0.438
"401030710",2018,0.588,18,12,0.756
"401030711",2018,0.838,47,3,0.187
"401030712",2018,0.511,15,20,0.608
"401030713",2018,0.82,40,48,0.885
"401030714",2018,0.728,27,20,0.322
"401030715",2018,0.698,24,16,0.357
"401030716",2018,0.506,27,20,0.709
"401030717",2018,0.616,23,34,0.936
"401030719",2018,0.791,26,24,0.46
"401030720",2018,0.625,28,38,0.644
"401030721",2018,0.548,27,24,0.726
"401030722",2018,0.675,42,17,0.488
"401030723",2018,0.601,16,8,0.444
"401030724",2018,0.635,30,9,0.441
"401030725",2018,0.575,6,24,0.643
"401030726",2018,0.732,24,23,0.982
"401030727",2018,0.574,0,24,0.53
"401030728",2018,0.718,17,48,0.862
"401030729",2018,0.662,52,21,0.498
"401030730",2018,0.745,30,27,0.423
"401030731",2018,0.88,33,18,0.408
"401030732",2018,0.856,34,0,0.257
"401030733",2018,0.505,31,20,0.532
"401030734",2018,0.59,34,16,0.703
"401030735",2018,0.584,13,20,0.629
"401030736",2018,0.637,20,19,0.953
"401030737",2018,0.511,42,34,0.735
"401030738",2018,0.714,20,13,0.286
"401030739",2018,0.573,24,17,0.47
"401030740",2018,0.579,14,28,0.652
"401030741",2018,0.591,30,14,0.429
"401030742",2018,0.846,27,17,0.283
"401030743",2018,0.53,21,28,0.746
"401030744",2018,0.65,37,34,0.498
"401030745",2018,0.503,31,23,0.545
"401030746",2018,0.599,14,38,0.425
"401030747",2018,0.763,24,10,0.308
"401030748",2018,0.78,20,13,0.819
"401030749",2018,0.503,28,42,0.833
"401030750",2018,0.677,23,27,0.895
"401030751",2018,0.571,13,33,0.666
"401030752",2018,0.529,14,51,0.487
"401030753",2018,0.537,16,40,0.608
"401030754",2018,0.676,28,16,0.734
"401030755",2018,0.573,17,33,0.473
"401030756",2018,0.82,31,12,0.272
"401030757",2018,0.807,0,31,0.84
"401030758",2018,0.742,14,28,0.862
"401030759",2018,0.746,20,3,0.41
"401030760",2018,0.918,35,3,0.095
"401030761",2018,0.757,34,33,0.999
"401030762",2018,0.742,34,17,0.508
"401030763",2018,0.578,10,24,0.584
"401030764",2018,0.772,27,24,0.939
"401030765",2018,0.889,38,3,0.142
"401030766",2018,0.68,29,26,0.441
"401030767",2018,0.621,34,3,0.499
"401030768",2018,0.873,14,33,0.889
"401030769",2018,0.797,9,41,0.295
"401030770",2018,0.721,12,9,0.852
"401030771",2018,0.64,31,28,0.948
"401030772",2018,0.554,18,15,0.976
"401030773",2018,0.77,20,23,0.388
"401030774",2018,0.568,0,21,0.476
"401030775",2018,0.607,21,17,0.916
"401030776",2018,0.562,40,7,0.444
"401030777",2018,0.641,37,43,0.905
"401030778",2018,0.735,33,31,0.849
"401030779",2018,0.668,43,40,0.636
"401030780",2018,0.798,29,27,0.672
"401030781",2018,0.519,31,17,0.481
"401030782",2018,0.73,20,16,0.742
"401030783",2018,0.78,33,30,0.898
"401030784",2018,0.907,6,27,0.91
"401030785",2018,0.76,27,17,0.941
"401030786",2018,0.562,20,30,0.773
"401030787",2018,0.66,28,20,0.926
"401030788",2018,0.783,27,14,0.491
"401030789",2018,0.834,6,25,0.353
"401030790",2018,0.578,31,21,0.645
"401030791",2018,0.693,22,27,0.79
"401030792",2018,0.72,20,19,0.402
"401030793",2018,0.735,26,10,0.409
"401030794",2018,0.816,6,9,0.839
"401030795",2018,0.647,38,27,0.353
"401030796",2018,0.689,23,20,0.467
"401030797",2018,0.757,18,28,0.833
"401030798",2018,0.729,35,23,0.282
"401030799",2018,0.538,24,13,0.541
"401030800",2018,0.522,10,45,0.478
"401030801",2018,0.555,14,16,0.901
"401030802",2018,0.612,26,10,0.641
"401030803",2018,0.602,21,23,0.688
"401030804",2018,0.705,45,10,0.301
"401030805",2018,0.533,27,30,0.706
"401030806",2018,0.739,26,23,0.956
"401030807",2018,0.698,17,21,0.984
"401030808",2018,0.654,31,33,0.764
"401030809",2018,0.545,17,37,0.516
"401030810",2018,0.758,34,22,0.245
"401030811",2018,0.805,42,28,0.204
"401030812",2018,0.529,35,36,0.978
"401030813",2018,0.644,21,24,0.86
"401030814",2018,0.786,21,37,0.258
"401030815",2018,0.939,26,14,0.189
"401030816",2018,0.612,13,6,0.507
"401030817",2018,0.522,15,6,0.666
"401030818",2018,0.864,16,13,0.683
"401030819",2018,0.585,16,23,0.697
"401030820",2018,0.523,32,34,0.929
"401030821",2018,0.626,34,10,0.626
"401030822",2018,0.734,24,9,0.383
"401030823",2018,0.6,26,20,0.751
"401030824",2018,0.61,9,23,0.529
"401030825",2018,0.643,34,20,0.528
"401030826",2018,0.501,14,38,0.507
"401030827",2018,0.597,20,14,0.641
"401030828",2018,0.549,3,16,0.621
"401030829",2018,0.507,17,19,0.65
"401030830",2018,0.511,21,32,0.517
"401030831",2018,0.584,19,16,0.735
"401030832",2018,0.503,31,38,0.805
"401030833",2018,0.794,37,5,0.298
"401030834",2018,0.612,43,19,0.394
"401030835",2018,0.61,7,20,0.616
"401030836",2018,0.611,23,24,0.936
"401030837",2018,0.527,20,17,0.542
"401030838",2018,0.742,10,39,0.345
"401030839",2018,0.798,38,31,0.477
"401030840",2018,0.728,31,12,0.277
"401030841",2018,0.723,38,7,0.309
"401030842",2018,0.56,26,23,1
"401030843",2018,0.606,34,37,1
"401030844",2018,0.755,22,0,0.266
"401030845",2018,0.688,26,24,0.721
"401030846",2018,0.617,48,10,0.383
"401030847",2018,0.664,36,37,0.919
"401030848",2018,0.673,17,20,0.788
"401030849",2018,0.521,36,21,0.739
"401030850",2018,0.896,48,32,0.123
"401030851",2018,0.904,26,21,0.257
"401030852",2018,0.519,17,25,0.73
"401030853",2018,0.661,10,41,0.661
"401030854",2018,0.673,29,23,0.615
"401030855",2018,0.5,45,35,0.578
"401030856",2018,0.943,27,24,0.442
"401030858",2018,0.682,31,17,0.595
"401030859",2018,0.754,6,20,0.474
"401030860",2018,0.561,3,17,0.535
"401030861",2018,0.736,28,27,0.848
"401030862",2018,0.747,14,28,0.905
"401030863",2018,0.735,24,21,0.88
"401030864",2018,0.554,32,30,0.808
"401030865",2018,0.771,36,31,0.609
"401030866",2018,0.509,7,17,0.683
"401030867",2018,0.653,21,7,0.481
"401030868",2018,0.758,25,16,0.733
"401030869",2018,0.737,20,27,0.765
"401030870",2018,0.68,38,44,0.977
"401030871",2018,0.68,28,13,0.533
"401030872",2018,0.603,26,18,0.481
"401030873",2018,0.565,23,27,0.855
"401030874",2018,0.634,28,29,0.999
"401030875",2018,0.691,27,20,0.415
"401030876",2018,0.772,16,17,0.777
"401030877",2018,0.593,9,27,0.737
"401030878",2018,0.607,27,24,0.794
"401030891",2018,0.694,22,29,0.702
"401030892",2018,0.861,24,12,0.156
"401030893",2018,0.629,24,17,0.588
"401030894",2018,0.783,24,21,0.786
"401030895",2018,0.501,10,24,0.685
"401030896",2018,0.552,14,13,0.816
"401030897",2018,0.796,10,22,0.796
"401030898",2018,0.7,20,12,0.512
"401030899",2018,0.619,13,10,0.627
"401030900",2018,0.891,40,14,0.337
"401030901",2018,0.651,9,14,0.67
"401030902",2018,0.656,27,9,0.42
"401030903",2018,0.576,25,20,0.48
"401030904",2018,0.833,13,27,0.399
"401030905",2018,0.636,16,23,0.707
"401030906",2018,0.824,27,24,0.864
"401030907",2018,0.888,9,31,0.236
"401030908",2018,0.566,24,17,0.677
"401030909",2018,0.681,30,16,0.383
"401030910",2018,0.592,20,19,0.72
"401030911",2018,0.6,24,17,0.843
"401030912",2018,0.93,45,10,0.285
"401030913",2018,0.71,31,28,0.833
"401030914",2018,0.68,25,22,0.874
"401030915",2018,0.586,0,17,0.647
